Grade Number,Class,Unit,Question,Answer
6,sixth science,lesson 10,"in fuels such as coal, oil, natural gas and wood, what is a part of the energy converted into?",heat and motion
6,sixth science,lesson 10,"how does sunlight help create clouds, wind and rain?","the sun causes the water in the earth to evaporate and move towards the sky as water vapor. these vapors gather together and form clouds. when the clouds are ready to rain, we can get rain, snow, and hail. let's see the sun with its light and causing temperature change and producing air flow and transferring it from high pressure area to low pressure area causes wind to appear."
6,sixth science,lesson 10,what forms of energy does the energy stored in the battery turn into in a flashlight or moving toy?,"electric, light, sound, motion, mechanical energy"
6,sixth science,lesson 10,what energies are converted when tuning a toy car or doll?,"depending on the type of device, it can be converted into forms of electrical, kinetic, sound, and light energy"
6,sixth science,lesson 10,explain how to produce electrical energy from the water behind a dam?,"when the water flows from the top of the waterfall, the energy that has been stored due to the height of the water is gradually converted into kinetic energy as the water falls. the turbine, with its rotation, drives the electricity generating device and electrical energy is produced."
6,sixth science,lesson 10,9. what energies can electrical energy be converted into?,"it can be converted into kinetic, sound, heat, light, and other energies that we need, and this energy conversion continues continuously."
6,sixth science,lesson 10,state the type of energy conversion in the following cases,"a) an athlete who pulls a slingshot and then releases it: when pulling the arrow, the muscle energy is converted into a reserve, and when the arrow is released, it is converted into kinetic energy.
b) a climber who climbs a mountain and then descends with a parachute: when climbing, kinetic energy is converted into stored energy, and when descending with a parachute, stored energy is converted into kinetic energy.
c) the water that collects behind the dam and then turns the hydroelectric turbine and electrical energy is produced: the water behind the dam has stored energy and when it flows, the stored energy is converted into movement and turns the turbine and electrical energy is produced"
6,sixth science,lesson 10,name the organisms that can produce light or electricity by themselves?,"the firefly emits its own light at night, and the eel and table fish can generate electricity by themselves and thus drive away the enemy."
6,sixth science,lesson 10,what unit is energy measured in?,joule
6,sixth science,lesson 10,15. each kilocalorie is roughly equivalent to how many joules?,4000 joules
6,sixth science,lesson 6,there are billions of ……………….. in the human body.,cell
6,sixth science,lesson 6,yeast is a type of single cell,mushroom
6,sixth science,lesson 6,a person named …………… made the first microscope.,robert hooke
6,sixth science,lesson 6,"for the first time, an english scientist named ……………… observed dead cells in cork slices.",robert hooke
6,sixth science,lesson 6,what is a microscope?,it is a tool with which we observe most cells and single-celled organisms.
6,sixth science,lesson 6,how many cells are there in the human body?,there are billions of cells.
6,sixth science,lesson 6,what is yeast? how does it increase?,it is a single-celled fungus - it multiplies by budding.
6,sixth science,lesson 6,magnifying glass shows small objects up to how many times bigger?,10 to 20 times bigger
6,sixth science,lesson 6,who made the first microscope and what did he see with it?,robert hooke made the first microscope about 400 years ago and was able to see the structure of cork with it.
6,sixth science,lesson 6,how many times bigger do optical microscopes show the sample?,two thousand times
6,sixth science,lesson 6,what is the function of stomatal guard cells in plant leaves?,it is responsible for keeping the air openings of the leaf open and closed.
6,sixth science,lesson 6,how many cells are there in the human body?,billions of cells
6,sixth science,lesson 6,most organisms are multicellular?,single cell
6,sixth science,lesson 6,what is filamentous algae?,living organisms are simple multicellular organisms that are formed by the juxtaposition of similar cells
6,sixth science,lesson 6,what is yeast?,protozoan organisms are round or oval in shape and are protozoan fungi
6,sixth science,lesson 6,how many times larger does the magnifying glass make the objects appear?,10 to 20 times
6,sixth science,lesson 6,how were the first microscopes made?,by placing the magnifying glasses next to each other
6,sixth science,lesson 6,who made the first microscope and what did he observe?,robert hooke made the first microscopes about 400 years ago and was able to see a piece of cork carefully and draw its image.
6,sixth science,lesson 6,how are today's microscopes made?,"today's microscopes, like the old microscopes, are made of multiple lenses"
6,sixth science,lesson 6,"with the help of today's microscopes, how can we see the image of the sample clearly and larger than itself?","in these microscopes, light from a light source shines on the sample, the light passes through the sample and the lenses, and we can see the image of the sample in a bright and bigger way than itself."
6,sixth science,lesson 6,compare modern and old microscopes?,"old microscopes had a simpler structure, their magnification power was low, and they used a mirror instead of a light source, but today's microscopes have both a more complex structure and a higher magnification power."
6,sixth science,lesson 6,compare plant and animal cells?,"1. plant cells are multidimensional, but animal cells are spherical
2. there is storage place in plant cell but not in animal cell
3. plant cells are producers and animal cells are consumers
4. animal cells are generally smaller than plant cells"
6,sixth science,lesson 14,which organs make the plant grow?,"roots, stems and leaves"
6,sixth science,lesson 14,what is chlorophyll?,chlorophyll is the green substance of leaves that absorbs the energy of sunlight.
6,sixth science,lesson 14,how do plants make food?,using sunlight
6,sixth science,lesson 14,what does photosynthesis mean?,"photo means light and synthesis means making, food production of plants by the energy of sunlight is called photosynthesis."
6,sixth science,lesson 14,when do plants not produce food?,"in winter, because sunlight is not enough for photosynthesis and the power of sunlight is low."
6,sixth science,lesson 14,how do plants make food?,plants carry out photosynthesis during the day. plants take in carbon dioxide from the air when making food. roots also take water and substances dissolved in it from the soil and deliver it to the leaves through vessels.
6,sixth science,lesson 14,what happens if we pour iodine solution on the starch?,a dark blue color is produced and indicates starch.
6,sixth science,lesson 14,where do plant leaves store sunlight energy?,the leaves of plants store the energy of sunlight in manufactured food such as starch.
6,sixth science,lesson 14,what are the names of the main organs of photosynthesis in plants?,the leaves
6,sixth science,lesson 14,how do all living things eat?,all living things feed on the food that plants make. plants themselves also use these foods.
6,sixth science,lesson 14,why are plants called producers?,because they eat the food they make themselves
6,sixth science,lesson 14,do the stems of plants also make food?,the green stems of plants such as bean stems that have chlorophyll also make food.
6,sixth science,lesson 14,what does the hunter's leaf mean?,"leaves are the main photosynthesizing organ in plants, plants are also producers, but some plants cannot make all the materials they need. for this reason, some of the leaves of these plants have become traps that can catch insects and even small animals. these plants consume the body material of their prey."
6,sixth science,lesson 14,write three things that happen in photosynthesis?,"making food, producing oxygen needed by living things, photosynthesis helps to eliminate air pollution by producing oxygen"
6,sixth science,lesson 14,how is the oxygen needed by living things made?,"in photosynthesis, in addition to food, oxygen is also produced. this oxygen enters the surrounding air through the leaf openings."
6,sixth science,lesson 14,explain how plants make food?,"the chlorophyll in the leaves of plants absorbs sunlight, the pores of the leaves take carbon dioxide from the air, and the roots take water and its soluble substances from the soil and deliver it to the leaves through the vessels."
6,sixth science,lesson 14,what is photosynthesis?,making food for plants using sunlight is called photosynthesis
6,sixth science,lesson 14,how do leaves of plants store sunlight energy in manufactured food?,starch
6,sixth science,lesson 14,why are plants called producers?,"because all living organisms feed on the food that plants make, plants also use this food, that's why plants are called producers."
6,sixth science,lesson 14,where is the main place of plant food production?,leaf
6,sixth science,lesson 14,why are some plants predatory?,"because some plants can't make all the materials they need, that's why some of the leaves of these plants are shaped like traps that can catch insects and even small animals. these plants consume the materials of their prey."
6,sixth science,lesson 14,give two examples for each of the following,"starchy grain: wheat, corn, barley
oilseeds: sunflower, corn
starchy stem: potato
starchy fruit: banana, melon, mango
oily fruit: coconut, olive"
6,sixth science,lesson 14,what is produced in photosynthesis?,"food, oxygen"
6,sixth science,lesson 14,explain the difference between photosynthesis and respiration (combustion)?,"in photosynthesis, carbon dioxide is consumed and oxygen is produced. but in breathing, oxygen is used and carbon dioxide is produced"
6,sixth science,lesson 14,show the presence of starch by designing an experiment?,"we put a leaf in a small besher and pour enough alcohol on it to cover it, then we put this besher in a bigger besher that is half filled with water and we heat this besher until the whole color is green. come out of the leaf we remove the leaf from the besher and wash it with water and put it in a plate and pour iodine solution on it - we observe that it turns dark blue. which indicates the presence of starch."
6,sixth science,lesson 14,14. how do plants help reduce air pollution?,plants help clean the air and reduce its pollution by absorbing carbon dioxide and producing oxygen
6,sixth science,lesson 7,what is a food chain?,the food relationship of a producer and multiple consumers is called a food chain.
6,sixth science,lesson 7,what is a food web?,the connection between several food chains that are connected to each other is called a food web
6,sixth science,lesson 7,how are fungi organisms?,"fungi are a group of organisms that break down the remains of living organisms and cause their constituents to return to nature. for example, the work of fungi that grow on the remains of plants and animals in the forest is to decompose these remains and help to form, improve and strengthen the soil."
6,sixth science,lesson 7,what is the function of fungi that grow on the remains of plants and animals in the forest?,"decomposing the remains of living organisms and helping to form, improve and strengthen the soil"
6,sixth science,lesson 7,explain the relationship between ant and aphid?,"in this cooperative relationship, the aphids suck the sweet nectar of the plant and the ants take the aphids with them to their nest to eat the sweet substance that the aphids excrete. they stay safe"
6,sixth science,lesson 7,give an example of a relationship in which both living beings benefit?,the relationship between ant and aphid
6,sixth science,lesson 7,give an example of a relationship in which one living thing benefits and the other living thing neither benefits nor loses?,the relationship between vultures and lions
6,sixth science,lesson 7,give an example for a relationship in which one organism benefits and the other loses?,the relationship between horse and fly
6,sixth science,lesson 7,9. what factors cause the destruction of all individuals of a type of animal or plant?,"when the habitat of living things changes, some of them cannot adapt to the new situation and gradually decrease, and even all of them may eventually disappear."
6,sixth science,lesson 7,what is the reason for the loss of iranian milk?,for reasons such as being hunted by humans and losing its habitat
6,sixth science,lesson 7,what is meant by native trees?,trees that grow naturally in any region are called native trees
6,sixth science,lesson 7,12. why is plant diversity in pine forests low?,"because the pine tree secretes substances from its roots into the soil that prevent the growth of many types of plants, therefore the diversity of plants in pine forests is low."
6,sixth science,lesson 7,what is roommate life?,"in the life of companionship, one creature benefits and the other neither benefits nor loses, such as pufferfish and sharks."
6,sixth science,lesson 7,what is co-living?,"in this type of life, both creatures benefit, such as aphids and ants"
6,sixth science,lesson 7,what is competitive life?,"there is competition in this type of life, for example tall plants use more sunlight."
6,sixth science,lesson 7,what is parasitic life?,"in the parasitic life, the parasite acts as a source of food from the host, such as pumpkin worms or leeches and lice"
6,sixth science,lesson 7,what is the life of the hunter and the hunter?,"in this life, a creature hunts and eats other creatures, such as sparrows and eagles"
6,sixth science,lesson 11,what is the disease?,any problem that disturbs the natural order of the body and the health of the body organs is called a disease.
6,sixth science,lesson 11,how many categories are diseases divided into?,infectious and non-infectious diseases
6,sixth science,lesson 11,define communicable diseases.,diseases that can be transmitted from one person to another are called communicable diseases.
6,sixth science,lesson 11,define non-communicable diseases?,there are diseases that cannot be transmitted from one person to another.
6,sixth science,lesson 11,what is a microbe?,the cause of infectious diseases are organisms called microbes and they can only be seen with a microscope.
6,sixth science,lesson 11,name three infectious diseases?,influenza - tuberculosis - salk
6,sixth science,lesson 11,how does the cold germ enter our body?,"through the mouth, nose, eyes, handshake and kissing"
6,sixth science,lesson 11,what is a carrier?,animals in which microbes live in their bodies and can transmit a disease to other organisms are called disease carriers.
6,sixth science,lesson 11,what are the carrier animals?,there are animals that transmit a disease. and microbes live in the body of these animals. like a mouse that carries plague and a dog that carries rabies. anopheles mosquito also carries malaria.
6,sixth science,lesson 11,explain how many defenses the body has against microbes?,"two defensive barriers
the first barrier is the skin of the body, the mucous membrane of the nose, and the saliva of the mouth.
the second barrier: white blood cells"
6,sixth science,lesson 11,how does the skin of the body prevent germs from entering the body?,"the skin of the body prevents germs from entering, but if there is a wound or scratch on the skin, germs can enter the body through that way. and in case of a wound, we must disinfect the wound and cover it with sterile gauze and a bandage, and if the wound is deep, we must see a doctor, and if we have not been vaccinated, we must act immediately."
6,sixth science,lesson 11,how do white blood cells fight microbes through xenophagy?,some white blood cells attack microbes and eat them. these white blood cells are also called xenophagous white blood cells.
6,sixth science,lesson 11,how do white blood cells fight microbes by secreting antibodies?,some white blood cells secrete substances called antibodies. antibody inactivates microbes; xenophagous white blood cells eat these inactive microbes more easily.
6,sixth science,lesson 11,what happens if white blood cells can't fight germs?,germs live in different parts of our body and cause disease.
6,sixth science,lesson 11,what is the difference between cold and flu?,"the cold virus is placed in the cells of the nasal mucosa, but the flu virus is placed in the cells of the lungs."
6,sixth science,lesson 11,how does the germ of purulent sore throat harm the body?,it is placed in the throat and secretes a poison that goes to the heart with the blood stream and damages it
6,sixth science,lesson 11,which microbes cause disease by releasing toxins?,the pus sore throat germ is placed in the throat and secretes a toxin that goes to the heart with the blood stream and damages it.
6,sixth science,lesson 11,how does the tuberculosis germ harm the body?,tuberculosis germs enter the lungs and cause the destruction of the lungs.
6,sixth science,lesson 11,what are the symptoms of the disease?,"diseases have signs and symptoms such as muscle pain, fever and chills, bone pain, dizziness, nausea, paleness, despite these symptoms, you should see a specialist doctor very soon."
6,sixth science,lesson 11,what should you do if the doctor has prescribed antibiotics to cure your disease?,"we should take the antibiotic in the same number and hours as the doctor said. otherwise, the bacteria become resistant to antibiotics and the drug cannot destroy them."
6,sixth science,lesson 11,are there beneficial bacteria? explain,millions of bacteria that live on the skin of our body can strengthen the immune system and protect the body against various infections.
6,sixth science,lesson 11,when do germs die faster?,"the more resistant the body is, the faster it destroys germs."
6,sixth science,lesson 11,what factors increase the body's resistance to microbes?,"exercising, eating enough and varied food"
6,sixth science,lesson 11,in which parts of the body do microbes live?,microbes that pass through the body's defense barrier settle in different parts of the body
6,sixth science,lesson 11,what is a vaccine?,"it is the weakened and killed germ of some diseases, and when the vaccine enters the body, white cells make antibodies against it."
6,sixth science,lesson 11,what happens when the vaccine enters the body?,"when the vaccine enters the body, white blood cells make antibodies against it. each disease has its own vaccine. some vaccines make a person resistant to that disease for the rest of his life, but to be resistant to some diseases, it is necessary to receive the vaccine several times."
6,sixth science,lesson 11,write the difference between cold and flu.,"a cold is different from the flu. the cold virus resides in the cells of the nose, while the influenza virus resides in the cells of the lungs. influenza is usually accompanied by fever, body aches and cough"
6,sixth science,lesson 11,what is the benefit of exercising and eating enough food?,they increase the body's resistance against microbes.
6,sixth science,lesson 11,how do non-communicable diseases arise?,"diseases that are not caused by microbes. these diseases are caused by malfunctioning of body systems. the type of nutrition plays a role in the development of some non-communicable diseases. for example, if we do not consume enough calcium-rich foods, our bones may remain soft and break with the slightest impact. or people who eat salty and fried foods with a lot of oil are at risk of high blood pressure"
6,sixth science,lesson 11,name three diseases caused by bacteria.,"tuberculosis, diphtheria, purulent sore throat"
6,sixth science,lesson 11,name four viral diseases.,"influenza, hepatitis, aids, measles"
6,sixth science,lesson 11,what diseases are called contagious?,diseases that can be transmitted from one person to another are called infectious diseases
6,sixth science,lesson 11,how many categories are diseases divided into?,"two categories, contagious and non-contagious"
6,sixth science,lesson 11,what is a microbe?,pathogenic agents that can be seen with a microscope
6,sixth science,lesson 11,give an example of what organisms are called vectors?,"some microbes live in the body of animals, and these animals are called disease carriers, such as mosquitoes that carry malaria and dogs that carry rabies."
6,sixth science,lesson 11,name two defense barriers of the body?,"first barrier: skin, oral and nasal mucosa, stomach acid,
the second barrier: white blood cells"
6,sixth science,lesson 11,how do xenophagous cells work?,they attack microbes and eat them
6,sixth science,lesson 11,how do white blood cells defend our body?,"some white blood cells secrete substances called antibodies. antibodies deactivate microbes, and xenophagous white blood cells eat these inactive microbes more easily."
6,sixth science,lesson 11,10. where do microbes that pass through the body's defense barrier settle in the body? give an example?,"they settle in different places of the body, for example, tuberculosis germs are placed in the lungs and purulent sore throat is placed in the throat."
6,sixth science,lesson 11,are all bacteria harmful? explain,"no - in our intestines there are bacteria that produce vitamins, some bacteria that live in our skin destroy harmful bacteria, and in some places, sewage is treated with special bacteria and made harmless. do"
6,sixth science,lesson 11,where is the tuberculosis germ located in the body and what does it cause?,it is placed in the lungs and causes the destruction of the lungs
6,sixth science,lesson 11,where is the pus sore throat germ located in the body and what does it cause?,it is placed in the throat and secretes a poison that goes with the blood stream to the heart and damages it
6,sixth science,lesson 11,name some signs and symptoms of the disease?,"muscle pain, burning during urination, fever, loss of appetite, bad breath, dizziness and..."
6,sixth science,lesson 11,why should antibiotics be taken in the same amount and at the same time as the doctor said?,"because if it is not used on time, the microbes will be given a chance to become resistant to the antibiotic, and as a result, the medicine will not be able to destroy them."
6,sixth science,lesson 11,what do you do to increase the body's resistance?,"exercising and eating enough and varied foods, avoiding fried foods and fast food"
6,sixth science,lesson 11,how do vaccines make the body resistant to disease?,"when the vaccine enters the body, white cells make antibodies against it. every disease has its own vaccine. some vaccines make a person resistant to that disease for the rest of his life. but to resist some diseases, you have to get the vaccine several times"
6,sixth science,lesson 11,what is the difference between cold and flu?,"the cold virus resides in the cells of the nose, while the influenza virus resides in the cells of the lungs. influenza is usually accompanied by fever, body aches and cough."
6,sixth science,lesson 11,what are non-communicable diseases?,"non-infectious diseases are not caused by microbes, but are caused by malfunctioning of body systems"
6,sixth science,lesson 11,explain with an example how the type of nutrition plays a role in the development of some non-communicable diseases.,"for example, if we do not consume enough calcium-rich foods, the bones may remain soft and break with minimal impact."
6,sixth science,lesson 11,who are most at risk of high blood pressure?,people who eat salty and fried foods with a lot of oil
6,sixth science,lesson 11,how can we have healthy teeth?,"brushing your teeth, not breaking hard things with your teeth, eating calcium and protein foods"
6,sixth science,lesson 11,what can be done to prevent damage to the spine?,"sitting properly, walking properly and doing proper exercises will prevent damage to the spine"
6,sixth science,lesson 11,what does exercise do?,it strengthens the muscles and heart and makes the body feel energetic
6,sixth science,lesson 11,27. mention the factors that threaten the health of children and teenagers?,"carelessness in crossing the street and not paying attention to traffic signs, dangerous games and jokes, and fireworks"
6,sixth science,lesson 8,how can we determine the position of ourselves or others with the help of satellites?,through gps (global positioning system)
6,sixth science,lesson 8,how can we learn about various events in every part of the earth instantly? page 103,"with the help of communication technologies such as satellite, television, smartphone, computer and internet"
6,sixth science,lesson 8,what is the result of advances in communication technologies?,"the efforts of experimental scientists, mathematicians and engineers are in the invention and production of new devices and technologies."
6,sixth science,lesson 8,why do people use personal communication tools? page 104,"humans have always needed to communicate with each other and for this they have designed and invented suitable methods, tools and devices."
6,sixth science,lesson 8,state the disadvantages of some personal communication devices for students.,"excessive use of the internet, mobile phone and computer games makes us not do our other work and causes us emotional and psychological problems."
6,the messages of the sixth sky,unique,how many foundations are the religious principles of muslims based on? name,"five foundations, 1-monotheism, 2-prophecy, 3-imamate, 4-justice, 5-resurrection"
6,the messages of the sixth sky,unique,what are the first religious principles of muslims?,monotheism
6,sixth science,lesson 8,name some means of communication in the past?,"fire, chapar, telegraph, pigeon mail"
6,the messages of the sixth sky,unique,what does monotheism mean?,monotheism means god is one and there is no god but him
6,sixth science,lesson 8,how many communication tools can you name today?,"telephone, internet, smart phone"
6,the messages of the sixth sky,unique,"what do muslims witness every day in the call to prayer, iqamah and prayer?",they testify to the oneness of god and praise him
6,sixth science,lesson 8,state some personal communication devices in the past. page 105,1- with the help of a torch at heights 2- sound transmission 3- use of fast horses
6,the messages of the sixth sky,unique,name some of god's attributes?,"wise, powerful, merciful, kind, peerless, needless"
6,sixth science,lesson 8,describe the disadvantages of using communication tools in the past?,"messages not arriving on time, the concept of messages not being fully understood, multiple interpretations of the sent message"
6,sixth science,lesson 8,why have communication tools and methods changed over time?,to solve their problem or problem.
6,the messages of the sixth sky,unique,name the three attributes of god that are mentioned in surah tawheed?,"uniqueness, needlessness, incomparable"
6,the messages of the sixth sky,unique,"belief in monotheism, which is the principle of our muslims? explain","tawheed is the first principle of the religion, that is, we muslims must believe in the oneness of god in the first stage and do not associate him with partners."
6,the messages of the sixth sky,unique,what is meant by god of the worlds in the first verse of surah hamad?,"that is, the world in which we live and the world of the hereafter, in which the actions of humans are dealt with, and god is the sole creator of the worlds."
6,the messages of the sixth sky,unique,what is the sign of order and harmony in the world around us?,a sign of the existence of an all-powerful and all-knowing god
6,the messages of the sixth sky,sixth gift text questions /,1. who are our best guides in life?,prophets and imams
6,the messages of the sixth sky,sixth gift text questions /,2. who is the prophet?,a prophet is someone who is chosen by god and from among people. he brings god's message to people and invites them to worship god alone.
6,the messages of the sixth sky,sixth gift text questions /,3. how did the prophets live?,"their life was like all people, they did things like shepherding and farming and worked hard for their family"
6,the messages of the sixth sky,sixth gift text questions /,4. name some heavenly books of the prophets?,"torah, bible, quran"
6,the messages of the sixth sky,sixth gift text questions /,7. what is a miracle?,"what the prophets did to prove their prophethood and ordinary people could not do that work, these miracles were clear reasons that showed that they were sent by god."
6,the messages of the sixth sky,sixth gift text questions /,9. what does prophecy mean?,"it means that god, the merciful, chose prophets from among the good and virtuous people to guide and guide the people and introduce them to the divine commands."
6,the messages of the sixth sky,sixth gift text questions /,10. name two actions of the prophets during their lifetime?,"1. they invited people to good things and forbade them from bad things
2. they fought against oppressors and oppressors and helped the oppressed and the righteous"
6,the messages of the sixth sky,sixth gift text questions /,11. name the first prophets?,"prophet noah (pbuh), prophet abraham (pbuh), prophet moses (pbuh), prophet jesus (pbuh), prophet muhammad (pbuh)"
6,the messages of the sixth sky,azadegan's server,1. who was hazrat qasim (as)?,"hazrat qasim was the son of imam hassan (as), who at the age of 14, when he saw that islam needed his sacrifice, he did not hesitate and was martyred in this way."
6,the messages of the sixth sky,azadegan's server,2. since when did cruel people decide to destroy islam?,since the prophet was chosen as a prophet by god
6,the messages of the sixth sky,azadegan's server,3. what made the oppressors unable to destroy islam?,prophet's efforts and resistances
6,the messages of the sixth sky,azadegan's server,"4. after the death of the prophet, who went to war with imam ali (as)?",muawiyah
6,the messages of the sixth sky,azadegan's server,6. imam hasan (as) was martyred by whose plan?,muawiyah
6,the messages of the sixth sky,azadegan's server,7. in what year did muawiya die and who came to power after that?,he died in 60 ah and after that yazid came to rule
6,the messages of the sixth sky,azadegan's server,8. how was yazid a person? (or write the characteristics of yazid.),"1. yazid was a person who did ugly things
2. he did not care much about prayer
3. he did not follow the rules of islam
4. he was openly mocking islam and prophet muhammad (pbuh)."
6,the messages of the sixth sky,azadegan's server,9. what was yazid's goal?,he wanted to eradicate islam and destroy it
6,the messages of the sixth sky,azadegan's server,10. what did he say when imam hussain (as) was informed that yazid had reached the government?,"woe to islam, which is caught by a ruler like yazid"
6,the messages of the sixth sky,azadegan's server,11. what did imam hussain (as) say about his goal of uprising?,"indeed, i have risen to reform the nation of my ancestors, i want to enjoin the good and forbid the bad"
6,the messages of the sixth sky,azadegan's server,12. what was the purpose of imam hussain's uprising?,1. reformation of his ancestor's nation 2. enjoining the famous and forbidding the evil
6,the messages of the sixth sky,azadegan's server,13. imam hussain (as) was martyred on which date and in which place?,"on the 10th day of muharram, 61 ah, he was martyred along with 72 of his companions in the desert of karbala."
6,the messages of the sixth sky,azadegan's server,14. what happened after the martyrdom of imam hussain (as)?,"after the martyrdom of imam hussain (a.s.), the people woke up from their slumber and stood in front of yazid, following the example of the uprising of imam hussain (a.s.)."
6,the messages of the sixth sky,azadegan's server,15. who was the messenger of karbala?,hazrat zainab (pbuh)
6,the messages of the sixth sky,azadegan's server,16. what was the name of the prayer that imam ali (as) recited on friday nights?,kamil's prayer
6,the messages of the sixth sky,azadegan's server,17. what did imam hussain (as) say about pledging allegiance to yazid?,someone like me will never pledge allegiance to someone like yazid
6,the messages of the sixth sky,azadegan's server,"during the umayyad rule, if there was no ashura and the sacrifice of the prophet's family, what would have happened to islam?","impure people like the umayyad family and an ugly person like yazid would definitely destroy islam due to their enmity with the religion of islam. with the martyrdom of imam hussain (as), the people woke up from their slumber"
6,the messages of the sixth sky,azadegan's server,write about the children and teenagers who were present in the karbala saga.,"1- qasim, the son of imam hassan (as), who is famous for being 14 years old.
2- abdullah, the son of imam hussain (as), an infant. which is apparently the same as ali asghar.
3- abdullah, the son of imam hassan (as), the child of imam hassan mojtabi (as), who was martyred next to imam hussein (as).
4- two young sons of muslim bin aqeel
5- zainab's children and..."
6,the messages of the sixth sky,secret garden,what does it mean to be famous?,it means inviting others to do good deeds
6,the messages of the sixth sky,secret garden,what does the prohibition of negation mean?,preventing others from doing bad things
6,the messages of the sixth sky,secret garden,"according to the meaning of the verse, what do they say about the work of hadi and mahdi in religion?",enjoining good and forbidding evil
6,the messages of the sixth sky,secret garden,what is the effect of encouraging good deeds?,it makes all people do good deeds
6,the messages of the sixth sky,secret garden,what is the need for warning about bad deeds?,so that bad deeds do not increase in the society and among people and we are not caught by evil
6,the messages of the sixth sky,secret garden,what do you do if someone makes a mistake?,we kindly remind him
6,the messages of the sixth sky,secret garden,"if you make a mistake, how would you like to be made aware of your mistake?",with goodness and kindness
6,the messages of the sixth sky,secret garden,which one should be smiled and which one should be frowned upon?,we smile at good deeds and frown at bad deeds
6,the messages of the sixth sky,secret garden,which one should be encouraged? which one should be warned?,encouragement is for good work and warning is for bad work
6,the messages of the sixth sky,secret garden,what is the effect of encouraging others to do good deeds?,it makes everyone encouraged and do more good and pleasant things and we have a better society.
6,the messages of the sixth sky,secret garden,what is the need to warn others about bad deeds?,it makes people realize their mistakes and get a chance to correct their behavior
6,the messages of the sixth sky,believer,who was safwan?,"he was one of the companions of imam kazem (a.s.) and lived in the time of harun abbasi, and his job was to rent camels to travelers."
6,the messages of the sixth sky,believer,what did imam kazem (a.s.) say to safwan about renting a camel to harun?,"whoever loves the survival of the oppressors, is one of them and will have a place in the fire of hell"
6,the messages of the sixth sky,believer,what did safwan do after imam kazem (as) warned him?,"he came to his senses and to save himself from the shame of helping the oppressor, he sold all his camels and did not pay rent to aaron."
6,the messages of the sixth sky,believer,what has god ordered muslims to do in the holy quran?,"1- love each other
2- to love good people
3- stay away from those who are hostile to the religion of god, his prophet, and his household, and separate yourself from them."
6,the messages of the sixth sky,believer,what does toli mean? give an example?,"it means that we should love the believers who are friends of god, such as: friendship with the prophet's ahlul bayt, supporting the oppressed people, going to visit the ahlul bayt."
6,the messages of the sixth sky,believer,what does an ax mean? give an example?,"that is, we should hate the unjust infidels, who are the enemies of god, and seek to dislike them.
example: fighting global arrogance, not remaining silent against oppressors"
6,the messages of the sixth sky,believer,"7- what does verse 29 of surah fatah, ""muhammad, the messenger of god, and those with whom he is fierce against the infidels, the most merciful among them"" refer?","toli and tabri
muhammad, the messenger of god, and his companions, were stubborn and firm against the infidel enemies, and behaved kind and good to each other."
6,the messages of the sixth sky,believer,what are the characteristics of god's friends?,"1- they are fair
2- friendship with god's friends
3- they obey god's orders"
6,the messages of the sixth sky,believer,what are the characteristics of god's enemies?,"1- oppressor
2- they are enmity with god's friends
3- they disobey god's orders."
6,the messages of the sixth sky,believer,"what does verse 114 of surah al-tawba, ""falamma tabayinna lahuh annah edu llillah tabarraha meneh"" refer to?","an ax
translation: when hazrat ibrahim realized that his supervisor was an idol worshiper and was not ready to stop his work, he felt disgusted with him."
6,the messages of the sixth sky,believer,what do different classes of people do on november 13?,"on this day, all the people, especially the students, declare their distaste for the tyrannical and oppressive governments with slogans such as: ""death to america"" ​​and ""death to israel""."
6,the messages of the sixth sky,believer,what does the axing and declaration of disgust on november 13th cause?,it causes the unity and uniformity of muslims in the society and makes them more resistant against enemies
6,the messages of the sixth sky,believer,on what date is the national anti-arrogance day?,november 13
6,the messages of the sixth sky,believer,what were the characteristics of imam hussain (as)?,"faithful, brave, virtuous, good-natured, good and pleasant, wise and knowledgeable"
6,the messages of the sixth sky,believer,what were the characteristics of yazid?,"unbelieving, people who do ugly things, cruel and tyrannical, not paying attention to islamic rules"
6,the messages of the sixth sky,believer,why did imam hussain (a.s.) say: no one like me would ever pledge allegiance to someone like yazid?,because yazid was a corrupt and oppressive man and wanted to destroy islam
6,the messages of the sixth sky,believer,"what is the relationship between ""tuli and tabari"" and ""enjoining good and forbidding evil""?","tuli, like a commandment, leads us to good things, and tabari, like a prohibition against evil, prevents us from bad things."
6,the messages of the sixth sky,good face,give examples of the behavior of imam kazem (a.s.) with his workers?,"they were kind to their workers, they ate together and consulted with them"
6,the messages of the sixth sky,good face,what is the best guide book for people?,quran
6,the messages of the sixth sky,good face,what is the best way to guide people?,introducing superior models and exemplary people
6,the messages of the sixth sky,good face,"what does god say in the holy qur'an (verse 33, surah ahzab) about ahl al-bayt?","indeed, god has willed to remove all filth and impurity from you ahl al-bayt and purify you."
6,the messages of the sixth sky,good face,describe some of the moral characteristics of ahl al-bayt?,"1- they were kind and polite
2- they easily forgave the mistakes of others and did not blame them
3- they did not speak arrogantly to anyone
4- they did not call anyone with ugly nicknames
5- if someone spoke to them about the absence of others, they would stop him
6- they fought against oppressors and oppressors of their time"
6,the messages of the sixth sky,good face,"what does our muslim belief in the principle of ""imamate"" mean?","that is, we believe that god has appointed the successors after prophet muhammad (pbuh) and introduced them to the people through the prophet."
