Question,Answer
what were the effects of jesus' teachings?,the teachings of jesus replaced the belief in one god and the polytheistic beliefs of the romans and strongly influenced the culture and ethics of the roman society.
write a description about the background of research in the history of ancient iran.,"at first, iranian historians wrote the history of iran in the ancient era based on the translation of god names belonging to the sassanid era and the stories of ferdowsi's shahnameh. in fact, their writings were a combination of fiction and reality."
how many periods did historians divide the history of ancient times?,pishdadians - kayanians - parthians - sassanians.
"what does legend, story, story or myth mean?","although each of these words has its own special meaning and lexical root, almost all of them are used in the meaning and concept of fictional and unreal stories."
are legends all untrue? explain,"researchers do not agree on whether the content of legends is completely unrealistic or not. most of them are of the opinion that legends are based on historical facts, but with the passage of time they have changed and become legends and myths."
"in the beginning, what did historians know about the dynasties of ancient iranian kingdoms?","until two hundred years ago, historians only had a relatively good knowledge of the history of the sassanids, and they knew the parthian dynasty and kings to some extent, but they did not know much about the elam, median, and achaemenid dynasties."
"at first, how did historians think about pasargad?","historians also attributed pasargad, the capital of cyrus, to hazrat suleiman the prophet and considered the tomb of the founder of the achaemenid dynasty to be the grave of hazrat suleiman's mother."
why did people initially consider the achaemenid capital as takht jamshid (iranian legends)?,"at that time, european writers and researchers had significant news and knowledge about ancient iran through the writings of herodotus and... for this reason, they were curiously searching for monuments and historical works of the achaemenid period, especially in fars."
what changes were made in archeology during the qajar period?,"with the expansion of relations between iran and europe during the qajar era, more europeans came to iran and the number of foreign visitors to historical monuments and places (especially persepolis, pasargad and susa) increased day by day. in this way, the ground was provided for conducting archaeological excavations in iran."
when will france turn to archaeological excavations in iran?,"with the reading of cuneiform (by an englishman during the time of muhammad shah qajar), the interest of europeans in archaeological activities in iran increased. the french government obtained permission to dig and then the exclusive privilege of archaeological excavations throughout iran."
"in the year 6.13 ah, what transformation happened in the archaeological excavations of iran?","in the year 6.13 ah, archaeological excavations were removed from the monopoly of the french and prominent archaeologists from different countries such as ernest herzfeld from germany and arthur pope from america began to work and the scope of archaeological excavations became wider. gradually, a generation of elite iranian archaeologists
they grew up and started working."
describe the results and achievements of explorations and new research?,"1: it helped to make the dynasties of the kingdom better and more known and it became possible to distinguish the real history from the legend to some extent. 2: the excavations showed that several thousand years before the migration of the aryan peoples, the inhabitants of the iranian plateau had turned to a succession and agriculture and had established a relatively advanced civilization. 3: another result of the research of the last two centuries was the new division that historians presented in the history of iran in the ancient period."
what are the eras of iran's history?,"a: prehistoric times. b: historical period: 1- before the aryans, 2- the era of the aryans (including: elam, medes, achaemenids, seleucids, parthians, sasanians.)"
name the sources of history research.,"1- primary or primary sources (including written + non-written) (tools, etc.) 2- secondary or secondary sources."
how many categories are primary or primary sources divided into?,"written sources, non-written sources"
what are non-written sources in history? (what are non-written sources called?),"these sources include all the material and hand-made works left by the ancient iranians. tools, containers, objects and remains of various buildings such as palaces, fire temples, bridges, dams, caravanserais, etc. these sources are the primary source for research in that period."
"tools, containers, objects and remains of buildings, palaces, fire temples, bridges, dams, caravanserais, etc. are part of what resources? and what are the benefits?","first hand sources. these sources contain valuable information about the economic, social, cultural and political status of ancient iran and reveal the different dimensions of knowledge, techniques, skills and creativity of iranians in this era."
"in your opinion, why do prehistoric works and objects play a key role in understanding this period?",because the line was not invented in that period and we can only gain knowledge of the past through these objects.
what information do ancient monuments and monuments contain about the past?,"they contain valuable information about the economic, social, cultural and political situation of ancient iran and clarify the different dimensions of knowledge, techniques, skills and creativity of iranians of those ages."
what information do ancient objects and tools provide to researchers about the creators and users of these works?,"these objects clarify the different dimensions of knowledge, techniques, skills and creativity of iranians of those ages."
"considering the relations between iran and greece and rome in ancient times, argue why a historian and researcher should not accept all the writings of greek and roman historians about iran without question.","because there have been wars and conflicts between iran and those two countries for a long time, and their researchers probably do not have correct opinions about the ancient iranian civilization and people, and their opinions are biased."
what are written sources in historical studies (what is meant by written sources?),the meaning of written sources is all types of writings that were written about the historical events of iran in ancient times or from which historical information and evidence can be obtained.
name the most prominent written sources?,"epitaphs, floral inscriptions, historical, literary, religious and geographical books."
how many groups can the written sources of iran's history in ancient times be divided into?,books of greek (herodet and xenophon) and roman (procopius) historians + torah (more about achaemenid cyrus)
write a description about iranian written sources of iranian history in ancient times.,"although the ancient iranians were not successful in writing historical books like the greeks and romans, there are many evidences that the recording of important events was of interest to them, and special teachers were engaged in this work. therefore, in ancient iran, although the situation of historiography was not favorable and great historians did not step into the arena, but according to herodotus, iranians had a high level of historical consciousness."
describe one of the reasons for the weakness of historiography in ancient iran?,"perhaps one of the reasons is that the oral tradition was much more acceptable and liked than the written tradition. the interest and habit of preserving the contents from chest to chest for centuries and even millennia has made the need to record and write them down to a lesser degree of importance. stone inscriptions and clay tablets are the most important written sources of the achaemenid period. in addition to the petroglyphs of persepolis, more than 30,000 clay tablets in elamite language have been discovered... which provide information about the economic and social conditions and the administrative organization of the achaemenid period."
write a description about the biston inscription. (what does the biston inscription contain?),"five columns of the biston stone inscription, which is actually a historical report, are dedicated to the description of the events of the beginning of the reign of darius the great and the suppression of rebellions in various regions."
in what language are the clay tablets of persepolis and what do they contain?,"in addition to the petroglyphs of persepolis, more than 30,000 clay tablets in elamite language have been discovered... which provide information about the economic and social conditions and the administrative organization of the achaemenid period."
what works remain from the sassanid period?,"1: from the sasanian period, a number of stone inscriptions have been left. , literary and geographical writings, some of which have been lost and some have remained. 3: god names were one of the most important sasanian historical writings, and in fact, they were the general history of the land and people of iran from the beginning of creation to the end of sasanian rule."
what sources or writings are god letters?,"khodanamehs are one of the most important historical writings of the sassanid period, and in fact, they were the general history of the land and people of iran from the beginning of creation to the end of the sassanid rule. the content of khodanameh is mixed with old legends and stories (contents about the sassanid period in them are in accordance with historical facts
has.)"
when and how was the history of ancient iran written? (how did muslim historians of iran write the history of ancient iran?),"in the first centuries of the hijri, muslim historians of iran such as tabari, dinuri, etc., started writing the history of ancient iran using the translations of god's names into arabic. these writings were still the main source of studying and understanding the history of ancient iran until two hundred years ago."
what are second-hand sources in history?,"second-hand sources or researches mainly include different types of books, articles, academic theses and research projects that have been written in the last two hundred years by researchers, including iranian and non-iranian historians, archaeologists, and linguists."
what is the relationship between the distribution of ancient sites and the distribution of current villages and cities?,today's villages and cities are built in the same ancient places.
what role did geographical factors play in the dispersion of ancient sites?,most of the ancient sites have been created in suitable geographical areas.
what did the finds from the ancient site of choghagolan in mehran show?,it has shown that the inhabitants of the foothills of zagros were among the first people in the world who started cultivating plants such as barley and wheat and domesticating animals such as goats and sheep about 12 thousand years ago. this action represents the entry of humans from the period of hunting (and gathering food) to the period of settlement and food production in the plateau of iran.
write a description about the state of pottery in ancient iran.,"the people of iran have made significant progress in making pottery utensils and tools since about 8,000 years ago, but with the invention of the pottery wheel 6,000 years ago, there was a great transformation in pottery making. a variety of simple and patterned clay vessels have been obtained from ancient settlements in iran. these dishes had many customers in other lands, including mesopotamia."
"in what ways do the pictures on iranian pottery help archaeologists in analyzing the life of prehistoric people? there is no answer
7 write a description about the state of metalworking in ancient iran.","archeological findings show that the people of iran made some tools, especially copper ornaments, by hammering on natural veins of copper since about 8,000 years ago. the remains of copper smelting and molding furnaces in some ancient settlements such as shahdad, tal iblis and tepe yahya in kerman province and tepe zagheh in qazvin indicate that around 5 to 7 thousand years ago the inhabitants of these settlements used smelting techniques and copper molding was achieved. traces of a large copper mine in baft city in kerman province have also been discovered. another achievement of the metalworking industry of the inhabitants of the iranian plateau was the manufacture of bronze objects and tools by mixing copper with tin. lorestan bronzes are the best examples of iran's metalworking industry and art."
write a description about making objects with soapstone in ancient iran.,"soapstone objects and dishes are another artefacts that were made by the people of some old settlements, especially jiroft and tepe yahya in kerman province, with great skill and elegance. these centers have been one of the major centers for the production and export of soapstone to far and near regions."
write a description about the state of house building in ancient iran.,"it seems that the inhabitants of the iranian plateau, like other regions of the world, at the beginning of a succession, built shelters and huts not very resistant from stone, wood and leaves of trees and plants. little by little, they learned to build stronger buildings using clay, stone, and finally clay. they covered the surface of the walls with clay straw and sometimes painted them, and the roofs of the houses were usually covered with wooden beams."
what was the name of the first cities in ancient iran and where were they built?,"shush and choghamish in khuzestan; shahdad and jiroft in kerman; burnt city in sistan and sialk in kashan. burnt city: archaeological investigations have shown that in 5 thousand years bc, in the east of the iranian plateau in sistan, there was a huge and flourishing civilization, the remains of which are now known as the burnt city. this city with an area of ​​more than 28 hectares, at the mouth of hirmand river and next to hamon lake.
is placed the historical period began with the invention of the line."
which regions of iran entered the historical period earlier and why?,"the inhabitants of the western and southwestern areas of the iranian plateau (i.e., the khuzestan plain and the zagros foothills) entered the historical period earlier than other areas due to their connection with the people of mesopotamia (who had calligraphy). the brief knowledge that we have of the beginning of the historical period of the mentioned areas often relies on mesopotamian sources, especially the floral inscriptions there."
which tribes lived in the western regions of the iranian plateau at the beginning of the historical period?,"elamites, cassis, lulobis and goths. the cassis (who lived in lorestan), dominated the city of babylon and parts of mesopotamia for several centuries in the second millennium bc."
what were the reasons for sumerian and akkad attacks on elam?,"since the economy of mesopotamia needed the natural and mineral resources of the iranian plateau, the sumerian and akkadian rulers repeatedly marched to the land of the elamites.
14- what were the reasons for the formation of the kingdom of elam? the invasion of the sumerian and akkadian rulers from mesopotamia to elam (due to natural and mineral resources), caused the small and independent elamite rulers around 26 bc. unite with each other and establish the kingdom of elam."
how were ilam's relations with its neighbors?,"the government and civilization of elam always had close political, cultural and commercial relations with its mesopotamian neighbors such as sumerians, akkadians, babylonians and assyrians. the territory of elam was repeatedly attacked by mesopotamian armies and lost its independence; but the elamites were gaining strength again. the kings of elam also marched to mesopotamia whenever they got a chance."
how were the relations of elam with distant civilizations? and what were the results?,"ilam also had commercial relations with other regions of the iranian plateau and its neighboring lands such as asia minor and india. political and commercial contacts and connections caused the formation of cultural relations between these lands and influenced their religion, culture, calligraphy and language."
finally ilam?,"the rule of elam, finally after centuries due to the devastating attack of the assyrians in the 7th century bc. it collapsed."
what was the state of the city and urbanization in ancient elam?,"in the territory of elam, urbanization flourished. susa was one of the capitals of the elamites in the center of the khuzestan plain. this city reached the peak of economic prosperity during the rule of the elamites and various professions and industries such as pottery, metalwork and weaving flourished in that city."
what was the situation of susa in ancient elam?,"susa was one of the capitals of the elamites. this city flourished during the rule of the elamites
economy reached and various professions and industries such as pottery, metalwork and weaving flourished in that city."
what industries were there in ancient susa?,"industries such as pottery, metalworking and weaving flourished in that city."
finally susa (capital of ancient elam)?,"the city of susa, which was razed to the ground as a result of ashurbanipal's attack, regained its ancient glory during the achaemenid dynasty."
the capitals of ancient elam?,"in the east of anshan or anzan (located in modern fars province), in the south of the city of shush."
name the ancient cities of elam?,"anshan or anzan, shush, simash (probably the place of present khorram abad)"
24- architecture in ancient elam?,"in ancient elam, architecture developed and the use of bricks (raw clay) became common in the construction of buildings."
chaghazanbil temple?,choghazenbil temple (inshushinak shrine) is located near the city of sush. this temple is built using raw clay in several floors and has a covering of brick inscriptions and glazed bricks.
write a description about religion and beliefs in ancient elam.,"the elamites believed in many gods and they help them to progress in their work
they wanted according to the people of ancient elam, the gods had a supernatural power that made them capable of doing anything. among the most popular elamite gods, inshushinak means the god of the city of sush. chaghazanbil temple was considered a place of praise for this god. mother goddesses were also very sacred in elam, priests performed religious rituals under the supervision of the high priest."
write a description about mother goddesses in ancient elam.,"mother goddesses were also very holy and had a high position in the hierarchy of elamite gods.
the elamites worshiped these goddesses as the mother of the gods and built temples for them. in the ancient excavations of susa, many clay vases, which are known as goddesses, have been discovered, which indicates their respect and sanctity among the people. figures of mother goddesses have also been obtained from other civilizational centers of iran, which shows that belief in these goddesses was widespread in iran."
the position of women in the civilization of iran and ilam?,"one of the important features of the elamite civilization and in fact the ancient iranian civilization is the high position and dignity that women had. in general, in the ancient societies of the iranian plateau, women had a privileged social position and had a lot of power and influence. women had a fundamental and decisive role in the major tasks of the society. the motifs and figures left from the elamite period show that women had a significant presence in social and economic affairs and official political and religious ceremonies."
who were the aryans?,aryans were a group of indo-european peoples who gradually settled in the plateau of iran and the indian subcontinent since ancient times.
where was the original settlement of indo-european peoples?,"some historians believe that the indo-european peoples (= aryans) first lived in the grasslands located in the northeast of the iranian plateau and the south of russia (around the aral lake). according to some indo-european (=aryan) peoples, around 15.. b.c. they entered the plateau of iran and settled there (the medes in the west and center, the parsis in the south, the parthians in the northeast). and another group also went to india from the east of the plateau of iran."
which government was assyria and why did it march to neighboring lands?,"assyria was a relatively powerful government in the north of mesopotamia, which constantly raided the neighboring lands to obtain metals, precious stones, etc."
what were the reasons and how to establish the median government?,assyrian attacks and looting provided the ground for the union of the median tribes. the chiefs of the median tribes chose one of the median nobles named dahioka (wrongly called diaako) as the king.
what were hovakhster's actions?,"forming an orderly and efficient army from different tribes of medes, persians, etc., establishing power in large areas of iran, alliance with babylon to destroy the assyrian government (= destruction of assyria with the help of babylon)"
what was the result of hovakhstra's actions?,the median empire extended to northern mesopotamia and large parts of asia minor.
describe who was the last king of the medes.,"astyages, the son and successor of hovakhshatra, did not deserve his father and spent his long reign enjoying himself and accumulating wealth."
what finally happened to astyages?,"the elders of the median clans and the people, who were unhappy with astyages' performance, conspired against him with the achaemenid cyrus."
what happened to mad in the end?,"finally, with the conquest of the capital of the medes (hegemonic city), the medes' government fell to the hands of cyrus ii, during the reign of astyages (=azhdhak).
important points of the achaemenians: during the time of the medes, a branch of the achaemenid dynasty had formed a small local government in fars, centered in the city of anshan.
- achaemenid (koresh's grandfather) was the head of the pasargad tribe (from pars tribes). koresh's tomb is located in pasargad (near shiraz). god of babylon = marduk.
the gate of nations, the symbol of the achaemenid world government, is located in persepolis.
- during the reign of kamboja (the son and successor of cyrus), egypt was captured by the achaemenids and their territory expanded to africa as well and reached its maximum extent.
arrived
- ardeshir ii was famous for revelry and comfort seeking. during his reign, egypt was removed from the control of achaemenids.
- ardashir iii (son and successor of ardashir ii), who was an ambitious and warrior king, annexed egypt again to the achaemenid empire.
- the brave achaemenid warlord who resisted alexander's attack was called ariobarzen. the tomb of darius iii is in persepolis.
the first achaemenid king, cyrus ii; the most famous king darius i; the last achaemenid king was darius iii"
how was the achaemenid government established?,"one of the descendants of achaemenid (by the name of cyrus ii achaemenid), who ruled over them, united the persian tribes who were dissatisfied with the rule of the medes. then, with the support of the median nobles, he destroyed astyages and founded the achaemenid kingdom."
what were the actions of cyrus ii?,"the overthrow of the medes and the formation of the achaemenids, the campaign to asia minor and the overthrow of the lydian government and other city-states there, the capture of all of asia minor, the capture of the eastern regions of the iranian plateau."
what were the results of cyrus' campaign to asia minor?,"overthrow of the rich government of lydia (with sardis as its capital) and other city-states in asia minor, obtaining huge wealth, neighboring with greek city-states."
how did cyrus ii conquer babylon? (or write a description about the conquest of babylon by cyrus.),"one of the most humane and glorious conquests in world history, the peaceful conquest of babylon by cyrus the great in 539 bc. conquest of babylon without war and bloodshed."
how was ancient babylon a city? what was the importance of conquering babylon?,"cyrus ordered the story of the peaceful conquest of babylon to be written in babylonian on a cylindrical tablet of rosy clay. this tablet, which was written in 1879 / 1258 sh. discovered in babylon, it is now kept in the british museum in london. many researchers consider the koresh charter as the first human rights charter. therefore, its text was translated into the six official languages ​​of this world organization at the initiative of the united nations"
what is the symbol of koresh's manifesto or statement?,it is a symbol of human culture and tolerance of iranians.
what were the results of the conquest of babylon by cyrus?,"all of mesopotamia, as well as the lands of syria, palestine and phenicia (today's lebanon), came under the command of the achaemenids."
what was the way and character of cyrus?,"cyrus has always been admired and honored not only as a world explorer or because of the conquests he made, but also because of his human character. at a time when killing, looting, and killing were the usual methods of rulers and conquerors, koresh, by avoiding such behavior, introduced a new form of rulership to the world.
introduced this tolerant behavior made some later kings follow his example."
when and how did darius i come to power?,"suppressing internal rebellions and establishing peace and security, campaigning to the east (took parts of the west and northwest of india), campaigning to remote areas in the north of the black sea and southern russia to repel the attacks of the scythian desert tribes, establishing the eternal corps, building the royal road, the construction of palaces and luxurious buildings (especially in susa and persepolis). war with greece."
what is the importance and fame of darius the great in the history of iran?,"it was because of the basic and unique measures he took to create new administrative, military and economic institutions. in fact, darius established the principles and a style of state management that remained in place not only during the achaemenid period, but also for centuries after, and laid the foundation for iran's economic prosperity and civilizational prosperity.
provided"
what were the causes of darius' war with the greeks?,"the greek city-states, especially athens, were unhappy with iran's dominance over asia minor and the eastern coast of the aegean sea. therefore, the athenians encouraged one of the greek cities of asia minor (miletos = malatya) to revolt against the achaemenids, and then together with the rebels, they attacked the city of sardis and set it on fire. darius decided to punish the athenians."
describe the battle of marathon,"iranian ships first captured the islands of the aegean sea, and then the iranian army entered greek territory and took a position in a place called marathon. the athenians hesitated for a while to declare obedience or war; most of the greek city-states, including sparta, whose soldiers were famous for fighting and bravery, also in
support from athens was not serious. finally, the athenian generals saw the only solution in a quick attack and hand-to-hand combat. the attack of the greeks was so sudden that nothing was done by the persian shooters and the iranian army retreated."
write a description about king xerxes' campaign to greece. (what was the battle of salamis?),"king xerxes marched to greece and captured athens, but he did not succeed in the naval battle in the strait of salamis."
who was king xerxes and what did he do?,"king xerxes, the son and successor of darius, after suppressing the revolts of egypt and babylon, marched to greece and captured athens, but he did not succeed in the sea battle in the strait of salamis."
the result of the achaemenid campaigns in greece?,"although the achaemenids did not gain much military success from their campaign in greece, the greek city-states still recognized and respected the iranian government as the greatest world power until the macedonians dominated that country. the achaemenid government also played an active role in the relations between the greek city-states, especially during the peloponnesian wars."
what were the peloponnese wars?,"in the civil wars of greece (between athens and sparta) with the support of the achaemenians, the spartans won."
since when did the achaemenid government suffer internal division?,"since the reign of ardeshir ii, because he got into a fight with his brother."
what was the problem of achaemenid during the reign of ardeshir ii?,"at the beginning of his reign, his brother (koresh the younger) started a rebellion in asia minor and went to the capital with an army of greek mercenaries. in the battle between two brothers, koresh koch was defeated and killed."
who was ardeshir iii?,"the son and successor of ardeshir ii was named ardeshir iii. at the beginning of his reign, he killed members of the royal family and those who might claim to be king. he was an ambitious and warlike king and re-annexed egypt to the achaemenid empire. ardashir iii was killed by one of the servants of the royal palace on the eve of alexander the great's attack on iran."
who was darius iii?,"he was the last achaemenid ruler who sat on the royal throne some time after the murder of ardashir iii. he was brave and chivalrous, but he did not have the tact and tact of the first achaemenid kings. during his time, alexander rushed to iran with a very strong army, trained and hungry for killing and looting. darius iii who fled from alexander in 33 bc. he was killed near the current damghan."
explain about alexander's attack on iran and the fall of achaemenids?,"during the time of darius iii, alexander rushed to iran with a very strong army, trained and hungry for murder and plunder. alexander defeated the achaemenid army in three battles (granicus, issus and gogmel) and then captured susa, one of the achaemenid capitals. despite the valor and bravery of ario barzan, the brave iranian general, macedonian and greek troops reached persepolis and it is known that this city was set on fire by order of alexander. darius iii, who fled from alexander, was killed near present-day damghan."
what is the achaemenid heritage in general?,"however, the legacy and relics of the achaemenids in the religion of statecraft and political techniques, civil, economic and commercial methods, the construction of magnificent buildings, the invention of world arts and cultural and religious tolerance were not forgotten in the history of iran and the world. achaemenidians turned iran into the first great world government. it was due to the strategy and policy of the achaemenid kings that iranians became the most influential people in the civilized and known world of that time."
what was the basis for the unity of scattered madi tribes and the establishment of the madi government?,assyrian raids and looting
describe the importance of the conquest of babylon for the newly established achaemenid government.,the great wealth and prosperity of that city was very important.
why do historians attach great importance to dariush's role in iranian history?,because of the many actions and reforms he did in various matters
what was the opinion of the iranian people towards alexander and the macedonian soldiers?,the people of iran looked at alexander and his macedonian and greek soldiers as foreigners and were unhappy with the rule of foreigners over their land.
what were the reactions of iranian people to show their displeasure towards iskandar?,they resisted in the form of disobedience and rebellion in different regions of the country against alexander and his army.
why did the disobediences and rebellions against alexander fail?,these disobediences and riots did not reach the desired result because they were scattered.
what happened to alexander and his territory?,alexander died in babylon and his kingdom was divided.
how was the seleucid dynasty founded and led by whom?,"a few years after alexander's death, one of his generals named seleucus ruled mesopotamia, parts of asia minor, syria and the iranian plateau and formed the seleucid dynasty."
what nickname did seleucus i give himself?,"he called himself nicator, the conqueror."
where were the capitals of seleucus?,1- seleucia (on the west bank of the tigris river) 2- it was the city of antioch (in the north of syria).
what was the purpose of the seleucids to create new cities in their territory in iran?,the spread of greek culture in iran and other territories.
what was the characteristic of seleucid cities?,these cities were based on greek architecture.
write the duties of the inhabitants of seleucid cities.,"preventing rebellion, preventing the invasion of clans, expanding trade activities with other lands."
what caused the seleucids to neglect their possessions in eastern iran?,because they entered into competition and conflict with alexander's successors in egypt.
what was the result of the neglect of the seleucids from the east?,"gradually, individuals or families in the northeastern plateau of iran will gain power and think of independence from the seleucids."
why is it said that the foundations of the seleucid government in iran were weak and shaky? or why greek culture could not spread and gain deep influence in iran?,"because they had kept the various ethnic groups under their command only by force and they were never able to create a sense of coexistence and unity with the iranian ethnic groups in their territory, and the greek culture could not spread and gain deep influence in iran."
why did the seleucids not fully supervise their eastern possessions?,because they had competition and conflict with alexander's successors in egypt.
who was arashak and what did he do?,"the founder of the ashkan dynasty, arashak, was from the parani or oparani tribe, who rebelled against the seleucid ruler near today's qochan and took parth and gorgan out of the hands of the seleucids."
how and by whom were the seleucids expelled from iran? (or how could the parthians completely expel the seleucids from iran?),"the parthians, using the warriors of the eastern tribes of iran, who were very skilled in horse riding and archery, gradually advanced towards the west and after nearly 1.. year of war, they managed to completely expel the seleucids from iran."
what changes were made during the mehrdad i parthian period?,"by dominating large areas throughout iran, he increased the power and territory of the parthian government significantly. during his reign, the parthian dynasty turned from a local government in the eastern plateau of iran into a powerful kingdom."
18- what changes were made during the mehrdad ii parthian period?,"with the conquests made by mehrdad ii, the extent of parthian territory reached its maximum and the foundations of their power and monarchy were established. during the reign of mehrdad ii, ambassadors from china came to iran, and following these embassies, trade relations between the two countries developed with the completion of the silk road. it was during the reign of this king that the parthians advanced to the euphrates river and became neighbors with the roman empire."
why was this dynasty named parthians?,"because their founder was called arshak, and his successors added the title of arshak and later ashk to their names in honor of him, and thus this dynasty was called arshkanians and ashkanians."
why did the first parthian rulers have to obey the seleucids?,to maintain their territory and prepare the ground for the uprising.
explain mehrdad ii parthani's actions?,"with the conquests made by mehrdad ii, the extent of parthian territory reached its maximum and the foundations of their power and monarchy were established. during the reign of mehrdad ii, ambassadors from china came to iran, and following these embassies, trade relations between the two countries developed with the completion of the silk road. during this time
it was the king that the parthians advanced to the euphrates river and became neighbors with the roman empire."
write one of the important issues in the foreign policy of the parthian government?,there were frequent conflicts and wars with the eastern roman empire.
what was the cause of the wars between the parthians of iran and the roman empire?,"at that time, the powerful roman empire was seeking to expand its territory to the east and occasionally sent a large army to iran. but the parthians were also determined to defend iran's western borders with all their might and not allow foreigners to dominate the country again."
"after the war of haran, iran and rome mostly fought over which areas?",they fought over the control of armenia and the borders of syria.
how was the parthian government system?,it was a set of semi-independent governments that gave taxes and military force to the parthian central government. this type of government is called al-tawaifi monarchy.
why did some local rulers disobey the parthian government?,"the parthian government weakened in the beginning of the 3rd century due to successive wars with the roman empire in the western borders and military conflicts in the eastern borders. therefore, some local rulers tried to disobey."
who was the last parthian king and how did his rule fall apart?,"erdoğan was the fourth (or fifth) who was not successful in the face of internal problems and could not calm down the sassanid family who rebelled against him in fars. finally, erdoğan was defeated and killed in the war with ardeshir babakan sassanid, and the parthian dynasty fell apart."
explain the many aspects of parthian heritage?,"the parthian government, with courage and fighting spirit, took iran out of the hands of foreigners. the parthians, with cultural and religious tolerance, kept different ethnic groups and religious sects, and even the greeks of iranian descent, who were scattered throughout their territory, together. the parthian dynasty was able to restore independence and dignity to iran in the post-iskander period by implementing such policies. the parthians gradually revived iran by combining different elements of iranian culture and promoting iranism."
sassanians got their name from whom?,"from sasan, the ancestor of ardeshir babakan, who was the head of that dynasty."
who was sasan?,"he was the head of the zoroastrian temple of anahita in the city of astakhar in pars, who married the daughter of one of the persian kings and increased the influence and power of his family."
how did ardeshir babakan come to power and establish the sassanid dynasty?,"first, babak (father of ardeshir) declared independence in pars. erdoğan v (the last parthian king), who felt threatened by the independence of the sassanids, rushed to fight. but in the end, ardeshir was defeated and the sassanid dynasty came to power instead of the parthians. ardeshir sassanid was crowned in the city of tisophon and chose it as the capital."
what type of government were the sasanians determined to replace the parthian government?,"they were determined to create a centralized and powerful government, whose orders and laws would be obeyed throughout iran, instead of the parthian clans.
to be"
what problems did ardeshir sasani face to consolidate his power and how did he solve them?,ardeshir faced many internal problems. many local rulers who did not want to lose their relative independence opposed the new government. ardeshir put many opponents in their place by war and brought others with him by writing letters and presenting various reasons.
state the problems of sassanid rule outside the borders?,"one of these problems was the eastern roman empire, which repeatedly attacked iranian lands. on the other hand, frequent raids of nomadic tribes on the borders of iran troubled the sassanids."
sassanid rule was expanded and stabilized as a result of what measures?,it was expanded and stabilized by the actions of kings like shapur i and shapur ii who achieved great political and military successes at home and abroad.
the mazdak movement took place during which sassanid king?,at the time of qabad i.
what did the mazdak movement demand?,"mazdak was a supporter of people's equality in enjoying economic and social benefits. he believed that people should have the same opportunities in life and wanted the land and wealth of the upper classes to be distributed among the poor. although mazdak had forbidden his followers from fighting with the upper classes, the properties of many elders were looted and the work was carried to extremes."
why qabad initially sided with the mazdak movement?,"because in this way, he wanted to reduce the power of nobles, nobles and nobles and cut their hand from the affairs of the country."
how did sasanian nobles and nobles treat qabad?,he was removed from the kingdom and imprisoned
"after returning to power, what position did qabad take towards the mazdakis?",he cooperated with the opponents of mazdak to maintain his position.
what happened to mazdak?,"at the end of qubad's era, under the guidance of khosrow, his son and successor, mazdak was invited to a mock debate, at the end of which, he was killed along with some of his followers."
what actions did khosrow anoushirvan sasani take?,"hormuz iv ascended the throne. disagreements and quarrels rose in the sassanid court, and one of the famous generals named bahram chubin, with the support of the elders, started a rebellion against the king and removed him from power and became the king in his place."
"what were the interests of the competition, disagreement and enmity between the sassanians and the romans? what were the causes of the differences?","two sassanid period wars took place during the reign of shapur i, in one of which roman emperor gerdianus was killed and in the other roman emperor valerian was captured."
check the problem of dealing with the wandering desert in the sassanid era?,there was frequent invasion of desert tribes to iranian cities and settlements in border areas (khorasan) and destruction and looting there. the sassanid kings went on a campaign to deal with the devastating invasion of these tribes and incurred a lot of costs.
explain how the sassanid government dealt with the desert arab tribes?,"later, the sassanid government established a puppet government headed by arabs lakhmi (lakhmian) in the southwest of iran, centered in hirah, in order to prevent the arabs from looting."
what were the results of the conflict between the king and the elders of the country during the sassanid period?,"deposing and even killing the king. the removal of qabad, the killing of hormuz iv, the killing of khosroparviz, the political turmoil in the court and finally the weakening of the government and the country were the results of these disputes."
state the effective factors in the fall of the sassanids?,"1- the weakness of the political power of the sassanid kings due to the continuous conflict and conflict with the nobles and elders
2- frequent rebellion of military commanders and their involvement in political conflicts
3- dissatisfaction of the people with the sassanid government due to the existence of social and economic discriminations and inequalities and their lack of serious resistance against the arabs.
4- the reduction of the economic power of the sassanid government due to the flooding of the tigris and euphrates rivers and the breaking of the dams and the flooding of the fertile lands of assyria (mesopotamia).
5- the attractive message of islam that calls the world to worship the one god and equality and brotherhood
6- motivation and strong spirit of muslim arabs"
what internal issues and problems did the sassanid government face at the end of its era?,"he faced problems including strong disagreements between the elders and the king. these differences sometimes became so intense that they led to the removal and even the murder of the king. the removal of qabad, the killing of hormuz iv, the killing of khosroparviz, the political turmoil in the court and finally the weakening of the government and the country were the results of these disputes. ."
how was the administrative organization of the madan period?,"it is very difficult to know how the country was run and the administrative organization during the madan era due to the lack of written documents and evidence. it seems that the median kings ruled in imitation of their previous and contemporary kings and probably had a small and limited court and administrative organization that included the king and some court officials, military commanders and local rulers."
