Question,Answer
what effect did the history of iran have on iranian culture?,"iran has been the seat of ancient civilizations that are more than five thousand years old. after the arrival of islam in iran, islamic beliefs and values ​​created a great transformation in iranian culture. the acceptance of islam connected iran to the islamic world, and iranians played an important role in the prosperity and expansion of islamic civilization by using the teachings of islam."
why does language play an important role in the development of national identity?,because it is the common language with which cultural heritage is learned and transmitted.
"as one of the common characteristics of the iranian society, what role does the persian language play in the national identity?","the persian language has its roots in ancient iranian civilization, but it continued in the post-islam era and was used as an educational and administrative language. scholars and elders of salami period have created hundreds of scientific, literary and artistic works in this language. farsi can be considered as the second language of the islamic world. persian language has also always been the factor of unity of iranian peoples."
what effect has the islamic revolution had on the national identity of iranians?,"in this revolution, instead of following the culture of foreigners, the people of iran returned to their islamic culture and identity and by using their religious values, they demanded independence, freedom and an islamic society. today, the ideals of the islamic revolution have inspired the muslims of the world."
what kind of contract is marriage? and to meet which human need?,"marriage is a contract whereby a man and a woman become partners and unite in life and form a family. the desire to form a family and have children is a human institution, and forming a family life is a natural and natural thing based on the system of creation."
write a hadith of the prophet about the importance of starting a family?,there is no foundation more pleasing to god than the foundation of marriage and family.
name the functions of the family?,"a) childbearing and reproduction
b) supporting function (love, care and meeting material needs)
c) socialization and education of family members"
what is the importance of having children in the family?,"one of the most important functions of the family throughout history has been raising children. in addition to strengthening the foundation of the family, having children makes the human race remain and continue. with the birth of children, the family develops and strengthens. the birth of children brings joy and vitality to family members and encouragement to parents. the birth of a child brings many blessings and benefits to family members and relatives."
what is the first condition for the survival of any society? and why,"population, because without sufficient population in a society, its activities will be disturbed. if the population of a society becomes extinct, that society will be destroyed and destroyed."
is one of the functions of the family love and affection? briefly explain? (what are the effects of love and affection of parents to each other and parents to children?),"affection and emotional needs are one of the basic human needs. the love and affection of parents to each other and parents to children brings peace in the family center. from the first years of their lives, children are introduced to kindness and affection in the warm arms of their parents, and by growing up in their arms, kindness and self-sacrifice and they learn charity."
in what periods do people need family care?,"- a baby
- old age
- in different situations such as illness or accidents."
explain the care of family members as one of the functions of the family?,"the child needs care to continue his life. on the other hand, people become weak and incapacitated in their old age, and without care, they are not able to manage themselves well. in addition to childhood and old age, in the middle of these two periods, family members need to take care of each other in various situations such as illness or accidents."
how does the family help meet the material needs of its members? explain,"family members need food and clothing, housing and living things. meeting these needs is the responsibility of the head of the family, that is, the father. although today in cities and villages, some women also participate and accompany men side by side with economic activities and earn money to meet the material needs of the family."
why is socialization both an individual's need and a society's need?,because it causes the formation of the identity and personality of people and also causes the continuity of the society.
at what stage of a person's life does socialization occur?,"socialization occurs throughout a person's life, but the most important stage is the early life of people in the family."
how is the process of socialization done? explain,"both directly and indirectly. in the course of daily activities, children learn some behaviors from their parents and family members (indirectly), but some behaviors, beliefs and norms are also directly taught by the family. children teach."
"according to imam sajjad (a.s.), what is the role of parents in raising family members?","a child's right is to know that his good and bad are related to you. you are responsible for his education, politeness and knowledge of god, you must help him in loving and obeying god and provide him with the means of faith and purity."
how are parents responsible for raising family members? and what effect does this task have on the society?,"parents are not only responsible for meeting the emotional, biological, and livelihood needs of their children, but they also have the important task of moral, spiritual, and religious education; a healthy family can raise children who are faithful, pious and adhere to moral principles, and contribute to the health of the society."
in what ways do families socialize family members?,"a) he tells his children the good and bad reasons for their behavior (dialogue).
b) they encourage and praise children's good behavior (encouragement)
c) by showing displeasure, indifference, refusing to speak with affection, or depriving children of some benefits... (punishment)"
what is the benefit of having children?,"in addition to strengthening the foundation of the family, having children makes the human race remain and continue."
how can encouragement be?,expressing interest - gratitude - buying a gift
how can the punishment be?,dissatisfaction - indifference - refusal to speak with affection - depriving children of some benefits
what kind of contract is marriage? and to meet which human need?,"marriage is a contract by which a man and a woman share and unite in life and form a family. the desire to form a family and have children is a human institution, and the formation of a family life is a natural and natural thing based on the system of creation."
write a hadith of the prophet about the importance of starting a family?,there is no foundation more acceptable to god than the foundation of marriage and family.
name the functions of the family?,"a) childbearing and reproduction
b) supporting function (love, care and meeting material needs)
p- socialization and education of family members"
what is the importance of having children in the family?,"one of the most important functions of the family throughout history has been raising children. in addition to strengthening the foundation of the family, having children makes the human race remain and continue. with the birth of children, the family develops and strengthens. the birth of children brings joy and vitality to family members and encouragement to parents. the birth of a child brings many blessings and benefits to family members and relatives."
what is the first condition for the survival of any society? and why,"population, because without sufficient population in a society, its activities will be disturbed. if the population of a society becomes extinct, that society will be destroyed and destroyed."
is one of the functions of the family love and affection? briefly explain? (what are the effects of love and affection of parents to each other and parents to children?),"affection and emotional needs are one of the basic human needs. love and affection of parents to each other and parents to children brings peace in the family center. from the first years of their lives, children are introduced to kindness and affection in the warm arms of their parents, and by growing up in their arms, they learn kindness, self-sacrifice and charity."
in what periods do people need family care?,"- a baby
- old age
- in various situations such as illness or accidents."
explain the care of family members as one of the functions of the family?,"a child needs care to continue his life. on the other hand, people become weak and incapacitated during old age and are unable to manage themselves well without care. in addition to childhood and old age, in the middle of these two periods, family members need to take care of each other in various situations such as illness or accidents."
how does the family help meet the material needs of its members? explain,"family members need food and clothing, housing and living things. meeting these needs is the responsibility of the head of the family, that is, the father. although today in cities and villages, some women also participate and accompany men side by side with economic activities and earn money to meet the material needs of the family."
why is socialization both an individual's need and a society's need?,because it both forms the identity and personality of people and also causes the continuity of society.
at what stage of a person's life does socialization occur?,"socialization occurs throughout a person's life, but the most important stage is the early life of people in the family."
how is the socialization process done? explain,"both directly and indirectly. in the course of daily activities, children learn some behaviors from their parents and family members in an imitative way without their awareness and attention (indirectly), but some behaviors, beliefs and norms are also learned by the family directly. they teach children."
"according to imam sajjad (a.s.), what is the role of parents in raising family members? (rights of children and parents)","a child's right is to know that his good and bad are related to you. you are responsible for his education, politeness and knowledge of god, you must help him in loving and obeying god and provide him with the means of faith and purity."
how are parents responsible for raising family members? and what effect does performing this task have on the society?,"parents are not only responsible for meeting the emotional, biological, and livelihood needs of their children, but they also have the important task of moral, spiritual, and religious education; a healthy family can raise children who are faithful, pious and adhere to moral principles and contribute to the health of the society."
in what ways do families socialize family members?,"a) he tells his children the good and bad reasons for their behavior (dialogue).
b) they encourage and praise children's good behavior (encouragement).
c- by showing displeasure, disregard, refraining from speaking with affection, or depriving children of some benefits, etc. (punishment)"
what is meant by a balanced family?,"when a family can perform its duties well and on time, it is called a balanced family."
what is the first step in forming a balanced and healthy family?,careful in choosing a spouse
"if a family cannot perform its duties well, what are the harmful effects? ?","in such a case, the relationship of the family with other institutions of the society will also suffer and eventually the damage will spread to the whole society."
what is the result of choosing the right spouse?,it brings harmony and peace in the family.
what problem will arise if people rely on incorrect criteria in choosing a spouse?,"they face failure in family life. for example, if only the appearance or wealth of the spouse is considered."
what is the opinion of experts in choosing a wife?,"some experts believe that when choosing a spouse, people should pay attention to their suitability and homogeneity with the other party. the more people are in harmony with each other in terms of religious beliefs, education, morals, morals and family status, the more durable their lives are."
"from the point of view of islam, what factors should be considered for choosing a wife?","from the point of view of islam,
a) the most important factor that should be considered in choosing a wife is people's faith and religious beliefs.
b) islam has also emphasized on the authenticity of the family, that is, the person who is chosen as a wife should be brought up in a pious family and a person of faith and piety."
what does family authenticity mean?,it means that the person who is chosen as a wife should be brought up in a pious family and a person of faith and piety.
"in verse 21 of surah rum, what is one of the signs of god?",he created for you spouses of your own kind so that you can find peace and intimacy with them and establish rapport and kindness between you.
"according to the qur'an, what is the most important purpose of marriage?",establishing peace and love between men and women. men and women complete each other and can reach perfection together.
13 what are the most important factors that cause incompatibility between men and women?,"a) incorrect choice of spouse
b) some husbands and wives have not acquired sufficient knowledge of their rights and duties in family life and the necessary competence to perform family duties.
c) men and women in two families and in two separate environments may have different values ​​and norms.
d) there are individual differences between people that may turn into arguments and destructive differences
e) sometimes there is a conflict between the roles that a person should play."
"among the factors of incompatibility between spouses is conflict in roles, explain this factor.","for example, a working woman has the role of a mother, a wife, and a housewife in addition to her job duties, and she usually has problems in performing all these roles better, which is interpreted as role conflict."
what are some things that help a husband and wife get along?,"a) passing family education before marriage
b) consultation with qualified people in the field of choosing a spouse
c) compliance with the ethics and customs of conjugal life
d) sincere conversation between husband and wife to solve problems and find suitable solutions."
tell me a few things about the ethics and customs of marriage?,"- good mood
respecting your wife and being polite
- calling him with good words
appreciating the wife's efforts
- to pass
- not making excuses and ignoring unimportant issues
- accept your mistake
apologizing and making amends."
how can inconsistencies be avoided?,"1- passing family education courses before marriage
2- consultation with competent people
3- adherence to conjugal etiquette and morals
4- finding suitable solutions to problems through sincere conversations"
are all differences of opinion and tastes destructive?,"no sometimes arguing between a man and a woman is normal and it is not possible for a husband and wife to be completely alike, but it is more important that they learn to solve their differences in the right and logical ways and think of solutions."
"write down the disadvantages of being an only child? (in the opinion of experts, what are the negative personal and social consequences of having only one child?)","a) the experience of socialization and social growth of children decreases.
b) in these families, children are deprived of having playmates, and children's competitions, games and fights, as well as imitation of siblings' behaviors, do not take place, and children are always in contact with adults.
c) they are deprived of the joy of broader family relationships and the support and love of brothers and sisters.
d) their children will also be deprived of having uncles and aunts."
what factors should families pay attention to in having the right number of children?,"a) having the ability, patience and courage necessary for the proper upbringing of children
b) economic and livelihood situation"
"according to verses 23 and 24 of surah asra, write the duties of children towards their parents?","a) do good to your parents.
b) if one or both of them reach old age, and this is while they are with you, do not say the smallest word that shows discomfort and resentment to them.
c) kill them with aggression.
d) speak to them nicely and decently
e) be kind and humble to them out of compassion
f) say, lord, have mercy on them as they raised me as a child and were kind to me."
"according to the prophet, what are the duties of parents towards their children?",respect your children and socialize with them with good manners.
how should obedience to parents be?,"it is obligatory to obey parents, observe good morals and refrain from disrespecting them in any situation unless they order you to sin and disobey god."
what factors cause incompatibility between parents and children?,"a) sometimes, at some stages of life, parents and children do not meet each other's expectations because parents may not take seriously the changes of their children who have reached the age of puberty.
b) during their lifetime, children get to know environments and people other than the family. this difference in values ​​and norms of the home with other environments may cause incompatibility.
c) in today's industrial societies, parents devote less and less time to talking with their teenage children and spending more time with them."
why do parents have the right to closely monitor their children's behavior and socializing?,"parents are usually sensitive to young people's exposure to other environments. they are worried that the children do not have enough experience and may have moral problems, and they have the right to closely monitor their children's movement and socializing."
how to prevent incompatibility between parents and children?,"a) the difference of opinion and taste of parents and children is acceptable to some extent and if it is managed well, it leads to the growth and perfection of the family members, otherwise it harms the family and the society.
b) my parents have a duty to spend time talking with their children and not to engage themselves in work and daily activities.
c) it is useful to arrange meetings with the presence of parents and expert counselors, where children and parents can express their issues."
what adverse consequences will the decrease in the fertility rate in our country cause in the future? activity,"a) the risk of aging and not replacing the population
b) reduction of youth and labor force
c) lack of economic growth and development.
d) the vitality of the population
e) moral and educational damages
f) interruption of the human race"
what are the responsibilities of families when they face problems?,"in such situations, family members should, by god, increase intimacy and cooperation among themselves and manage problems and incidents by being patient and inviting each other to be patient and not let the family get into a crisis and get hurt."
"what do the words ""peace"" and ""mercy"" mean?","the word ""salah"" is derived from wasl and means unity and connection, and ""arham"" means relatives and relatives."
what is the meaning of salah arham?,it is for people to visit their relatives and to find out about each other's condition. . these visits should be accompanied by affection. financial assistance to relatives is also considered as part of filial piety.
what are the benefits of peace of mind for families?,"a) it increases love and affection between relatives
b) they know about each other's problems
c) increase in life expectancy and daily life
d) purity of actions and warding off calamity
e) it has many positive effects emotionally and psychologically."
how is a balanced family?,a family that can do its duties well.
what are the most important factors that cause incompatibility between men and women?,"incorrect choice of spouse - lack of familiarity with rights and duties - heterogeneity of upbringing and beliefs, education and ethics"
how can inconsistencies be avoided?,"passing family education before marriage
consultation with qualified people in the field of choosing a spouse
respecting the morals and customs of your wife"
what are the advantages of multi-child families for children?,"increasing the socialization experience and social development of children
children play together
modeling the behavior of siblings
the joy of wider family communication in the future"
which families are better to have many children?,"parents should have the ability to raise their children properly.
parents have a good living situation."
what factors cause incompatibility between parents and children?,"parents and children do not meet each other's expectations.
children's lives in different environments and being influenced by friends
little time for parents to talk to their children"
how can inconsistencies be avoided?,"parents should spend more time talking with their children.
holding meetings with parents and expert advisors"
what are the responsibilities of family members in difficult situations and problems?,"trust in god
intimacy and cooperation together
patience
management of problems and incidents"
what does salah mean?,unity and unity
what does arham mean?,relatives and friends
what is the ruling of peace in islam?,obligatory
what does peace mean?,seeing and visiting with affection and help
which is the choice of spouse with incorrect criteria?,appearance beauty - wife's wealth - appropriate height - relying on dreams - beautiful words
which is the right standard to choose a spouse?,"proportion and homogeneity in religious beliefs and education, ethics and morals and family status"
who is this saying from? respect your children and socialize with them with good manners.,the prophet
what is meant by a balanced family?,"when a family can perform its duties well and on time, it is called a balanced family."
what is the first step in forming a balanced and healthy family?,careful in choosing a spouse
"if a family cannot perform its duties well, what are the harmful effects?","in such a case, the relationship of the family with other institutions of the society will also suffer and eventually the damage will spread to the whole society."
what is the result of choosing the right spouse?,it brings harmony and peace in the family.
what problem will arise if people rely on incorrect criteria in choosing a spouse?,"they face failure in family life. for example, if only the appearance or wealth of the spouse is considered."
what is the opinion of experts in choosing a wife?,"some experts believe that when choosing a spouse, people should pay attention to their suitability and homogeneity with the other party. the more people are in harmony with each other in terms of religious beliefs, education, morals, morals and family status, the more durable their lives are."
"from the point of view of islam, what factors should be considered for choosing a wife?","a) the most important factor that should be considered in choosing a wife is people's faith and religious beliefs.
b) islam has also emphasized the authenticity of the family, that is, the person who is chosen as a wife must be brought up in a pious family and a person of faith and piety."
what does family authenticity mean?,it means that the person who is chosen as a wife should be brought up in a pious family and a person of faith and piety.
what was the role of the family in choosing a wife in the past?,"in the past, families played a greater role in choosing a spouse and supported the new family more."
how can we use this method of choosing a spouse?,"if today's young people choose their spouse with the support of their families and use their experiences, many incompatibilities will be avoided."
what are the signs of god in verse 21 of surah rum?,"he created for you spouses of your own kind so that you can find peace and intimacy with them, and establish rapport and kindness between you."
"according to the qur'an, what is the most important purpose of marriage?",establishing peace and love between men and women. men and women complete each other and can achieve perfection together.
what is the prophet's hadith about dealing with family?,the best of you is the one whose behavior is better with his family. and i am the best in being good to my family.
what are the most important factors that cause incompatibility between men and women?,"a) incorrect choice of spouse.
b) some husbands and wives have not acquired sufficient knowledge of their rights and duties in family life and the necessary competence to perform family duties.
c- men and women in two families and in two separate upbringing environments may have different values ​​and norms.
d- there are individual differences between people that may turn into arguments and destructive differences.
sometimes there is a conflict between the roles that a person should play."
"among the factors of incompatibility between spouses is conflict in roles, explain this factor.","for example, a working woman has the role of a mother, a wife, and a housewife in addition to her job duties, and she usually has problems in performing all these roles better, which is interpreted as role conflict."
what are some things that help a husband and wife get along?,"a) passing family education before marriage
b) consultation with qualified people in the field of choosing a spouse
c- respecting the morals and manners of having a wife
d- sincere conversation between husband and wife to solve problems and find suitable solutions."
tell me a few things about the ethics and customs of marriage?,"- good mood
respecting your wife and being polite
- calling him with good words
appreciating the wife's efforts
- forgiveness
- not making excuses and ignoring unimportant issues
- accept your mistake
apologizing and making amends"
how can inconsistencies be avoided?,"1- passing family education courses before marriage
2- consultation with competent people
3- adherence to conjugal etiquette and ethics
4- finding suitable solutions to problems through sincere conversations"
are all differences of opinion and tastes destructive?,"no sometimes arguing between a man and a woman is normal and it is not possible for a husband and wife to be exactly the same, but it is more important that they learn to resolve their differences in correct and logical ways and think of solutions."
"write down the disadvantages of being an only child? (in the opinion of experts, what are the negative personal and social consequences of having only one child?)","a) the experience of socialization and social development of children decreases.
b) in these families, children are deprived of having playmates, and children's competitions, games, and fights, as well as imitation of siblings' behaviors, do not take place, and children are always in contact with adults.
c- they are deprived of the joy of broader family relationships and the support and love of brothers and sisters.
d- their children will also be deprived of having uncles and aunts."
what factors should families pay attention to in having the right number of children?,"a) having the ability and patience necessary for proper upbringing of children
b) economic and livelihood situation"
"according to verses 23 and 24 of surah asra, write the duties of children towards their parents?","a) do good to your parents.
b) if one or both of them reach old age, and this is while they are with you, do not say the slightest word that shows discomfort and resentment to them.
c- kill them aggressively
d- talk to them nicely and decently
e- be kind and humble to them out of compassion
and say, lord, have mercy on them as they raised me as a child and were kind to me"
"according to the prophet, what are the duties of parents towards their children?",respect your children and socialize with them with good manners.
how should obedience to parents be?,"it is obligatory to obey parents, observe good morals and refrain from disrespecting them in any situation unless they order you to sin and disobey god."
what factors cause incompatibility between parents and children?,"a) sometimes parents and children do not meet each other's expectations at some stages of their lives because parents may not take seriously the changes of their children who have reached the age of puberty.
b) during their lifetime, children get to know environments and people other than the family. this difference in values ​​and norms of the home with other environments may cause incompatibility.
c- in today's industrial societies, parents spend less and less time talking with their teenage children and spending more time with them."
why do parents have the right to closely monitor their children's movement and socializing?,"parents are usually sensitive to young people's exposure to other environments. they are worried that the children do not have enough experience and may have moral problems, and they have the right to closely monitor their children's movement and socializing."
how to prevent incompatibility between parents and children?,"a) the difference of opinion and taste of parents and children is acceptable to some extent and if it is managed well, it leads to the growth and perfection of the family members, otherwise it harms the family and the society.
b) parents are obliged to spend time talking with their children and not to engage in work and daily activities.
c- it is useful to arrange meetings with the presence of parents and expert counselors, where children and parents can talk about their issues."
what are the responsibilities of families when they face problems?,"in such cases, the family members should increase their intimacy and cooperation among themselves and manage problems and incidents by being patient and inviting each other to be patient and not let the family get into a crisis and get hurt."
what does the word peace and mercy mean?,"the word ""salah"" is derived from wasl and means unity and connection, and ""arham"" means relatives and relatives."
what is the meaning of salah arham?,it is for people to visit their relatives and to find out about each other's condition. these visits should be accompanied by affection. financial assistance to relatives is also considered as part of filial piety.
what are the benefits of peace of mind for families?,"a) it increases love and affection between relatives.
b) they know about each other's problems.
c- increasing life expectancy and increasing livelihood.
d- purity of actions and warding off calamity.
e- it has many positive effects emotionally and psychologically."
there are different opinions about the emergence of the government. can you express them?,"a) some believe that force and power play an important role in ruling a person or group over others. the governments of genghis and timur are a clear example of the role of this factor
b) some others believe that the factor of defense and protection of property and land belonging to the residents of a region played an important role in the creation of governments.
c) some people also say that the people living in a place voluntarily agreed to establish a government and leave the administration of their society in the hands of a group or individuals.
d) in contrast to these views, some experts believe that just as social life is a necessity and humans cannot live alone and meet their material and spiritual needs, having a government is a basic need for a society and a it is a necessity."
the government formed by the medes is a part of which group of factors of the emergence of governments?,a theory that believes that the people living in a place voluntarily agreed to establish a government and leave the administration of their society in the hands of a group or individuals.
why does society need government and cannot survive without government?,"because common needs arise in social life and people who live in a society need rules and regulations to regulate their affairs. they are also responsible for implementing laws and resolving disputes and preventing people from encroaching on each other's rights, establishing security and order, dividing common affairs and creating harmony between different activities of society, defending against the invasion of enemies and protecting the land they live in, etc. they have to form a government and leave the administration of society to individuals."
what do the people of the society need the government for?,"a- to regulate laws and regulations
b- to implement laws and regulations
c- resolving disputes and preventing encroachment on the rights of others
d - establishing order and security
e- defense of the country against internal and external enemies
and - establishing coordination between different parts of the society and division of duties"
write some of the most important duties of governments?,"a) establishing the necessary laws and regulations in various matters and implementing the laws.
b) establishing order and security and dealing with disputes and complaints.
c) education, preservation of cultural heritage, cultural policy making.
d) construction and population of the country.
r) creating the necessary tools and facilities to fix.
g) livelihood, social and economic needs of the people.
e) creating coordination between activities and different departments.
f) defense of the country and preservation of territorial integrity.
g) management of natural resources and wealth belonging to the general public."
"according to islam, who is the absolute sovereign right of burjahan?","in the monotheistic worldview of islam, the absolute sovereignty of all beings and phenomena of the world belongs only to god. humans and all other creatures are under the rule of god, and the rule is the exclusive right of god, and by following god's orders, they move towards perfection."
what are the characteristics of a society governed by divine laws?,"human talents flourish in the light of knowing the truth. in such a society, minority ownership and domination over resources, wealth, public facilities, oppression and discrimination will disappear and justice will prevail."
what does god say in the qur'an in verse 59 of surah nisa about divine sovereignty?,"o you who have believed, obey god and obey the messenger and the guardians of your affairs, and if you quarrel over something, return to god and his messenger."
what is the qur'an's opinion about divine sovereignty according to the translation of verse 257 of surah baqarah?,"god is the protector and guardian of those who believe. he takes them out of the darkness to the light. but those who became disbelievers, their guardians are the tyrants who take them out of the light to the darkness. they belong to the fire and will always remain in it."
"from the point of view of islam, who are qualified to rule and legislate?","only that group of people deserve to be the executor of divine laws on behalf of god, who both know and believe in these laws and are superior to other people in terms of piety and justice. at the head of this group are the divine prophets and then their successors, i.e. the infallible imams (pbuh), and in their absence, righteous and pious people continue their path."
why does the right to rule over humans belong to god? (activity question),because god is the creator of man and the true owner of this universe and knows all things.
"what does the word ""republic"" mean in the government of the islamic republic of iran?","the word ""islamic republic"" shows that the form of this government is a republic and the right of people to choose and participate in the government is recognized."
"what does the word ""islamic"" mean in the government of the islamic republic of iran?",the word islamic also means the content of this islamic government and the country is governed by islamic principles and laws. its leaders must also be believers in islam and committed to its implementation.
who determined our type of government?,"according to the april 1358 referendum, 98.2% of the people voted for the islamic republic."
what does province mean? explain,"wilayat means tutelage. from the perspective of islam, only god can have tutelage and sovereignty over human beings, the prophets and imams have also been represented by god to tutor the people."
"according to the fifth principle of the constitution, who is responsible for the guardianship of the islamic community during the absence of imam al-zaman (a.s.)?","islamic society is headed by a just and pious jurist, aware of the times, brave, manager and resourceful."
what is the most important pillar of the government of the islamic republic and on what basis is it based?,leadership - based on velayat al-faqih
write four of the most important duties and powers of the leader of the islamic republic?,"a) determining the general policies of the system and monitoring their good implementation.
b) commander-in-chief of the armed forces. c) appointing and dismissing and accepting the resignation of the jurists of the guardian council, the head of the judiciary, the head of the broadcasting organization of the islamic republic of iran and the commanders of the military, law enforcement and islamic revolutionary guard corps...
d) pardoning or reducing the punishment of convicts within the limits of islamic standards."
why is the formation of islamic city and village councils considered in the constitution?,because the type of government in our country is an islamic republic and people have a role and participation in all government affairs.
what is the purpose of forming islamic councils? how are its members selected?,"islamic councils are formed with the aim of people's cooperation to advance social, cultural, economic and construction programs according to the conditions and requirements of each region of the country. - the members of these councils are elected by the people of the region or place"
what are the characteristics of the government of the islamic republic? what are the characteristics of a leader in an islamic government? (book activity),"a) the constitution, which is the mother of all laws, and no law contrary to it will be approved. in our country, the rules of the quran are written based on u u.
b) imam khomeini (ra), the founder of our government, a personality: spiritual, knowledgeable about the religion of islam, familiar with the affairs of the people and their society, on behalf of the people, they created the islamic government in the country. second part: fiqh - a just and pious islamic scholar. - aware of time, brave, manager and resourceful."
"in addition to the leadership of the three powers, which institutions participate in the exercise of governance? state the duties of each.","1- council of leadership experts (selecting a leader and checking the qualifications of those who qualify for leadership)
2- expediency council (providing advice to the leader to solve problems)
3- supreme national security council (providing national interests and guarding the islamic revolution and preserving territorial integrity)
4- the supreme council of the cultural revolution (drafting and approving the principles and goals of cultural and scientific planning)"
"whose dismissal, installation and acceptance of resignation is with the leadership?","guardian council jurists,
head of the judiciary
head of the broadcasting organization of the islamic republic of iran
the commanders of the military, law enforcement and islamic revolutionary guard corps..."
what are some of the most important duties of governments?,"establishing and implementing rules and regulations
establishing order and security
handling complaints
education
civil engineering and development of the country
defense of the country and preservation of territorial integrity"
"after the death of the prophet, who took over the leadership of the society?",abu bakr - umar - uthman and imam ali (as)
what does the name republic mean in our country?,it recognizes people's right to choose and participate in government.
"what does the word ""islamic"" mean in the islamic republic?","the content of this government is islamic.
the country is governed by islamic principles and laws.
its rulers must also be believers and believers in islam and committed to its implementation."
what is the most important pillar of the government of the islamic republic?,leadership
who are the three main branches of iran governed by?,leadership
what are the names of the pillars of the islamic republic?,leadership - legislature - judiciary - executive
"according to the tenth principle of the constitution, the guardianship of the community during absence is with the legal guardian?",5
what is the fifth principle of the constitution?,"during the absence of imam zaman, the guardianship of the islamic community is the responsibility of a just and pious jurist, aware of the times, brave, manager and resourceful."
what are the characteristics of a jurist?,"just and pious, aware of time, brave, manager and resourceful"
what are the parts of the legislature?,representatives of the islamic council - members of the guardian council
what are the departments of the judiciary?,head of the judiciary - judges - supreme court - courts - courts
what are the branches of the executive branch?,president - vice-presidents and ministries
what are the most important duties and powers of the leader of the islamic republic?,"- determining the general policies of the system and monitoring their good implementation
- general command of the armed forces
- installing and dismissing and accepting the resignation of the jurists of the guardian council, the head of the judiciary, the head of the broadcasting organization of the islamic republic of iran and the commanders of the military, law enforcement and islamic revolutionary guard corps forces...
- pardoning or reducing the punishment of convicts within islamic standards"
what is the purpose of forming islamic councils?,"people's cooperation to promote social, cultural, economic and development programs according to the conditions and requirements of each region of the country"
there are different opinions about the emergence of the government. can you express them?,"a) some believe that force and power play an important role in ruling a person or group over others. the governments of genghis and timur are a clear example of the role of this factor.
b) others believe that the factor of defense and protection of property and land belonging to the residents of a region has played an important role in the establishment of governments.
c- some also say that the people living in a place voluntarily agreed to establish a government and leave the management of their society in the hands of a group or individuals.
d- in contrast to these views, some experts believe that just as social life is a necessity and humans cannot live alone and meet their material and spiritual needs, having a government is a basic need and a necessity for a society. is"
the government formed by the medes is a part of which group of factors of the emergence of governments?,a theory that believes that the people living in a place voluntarily agreed to establish a government and leave the administration of their society in the hands of a group or individuals.
why does the society have a basic need for government and cannot remain without government?,"because common needs arise in social life and people who live in a society need rules and regulations to regulate their affairs. they are also responsible for enforcing laws and resolving disputes and preventing people from encroaching on each other's rights, establishing security and order, dividing common affairs and creating harmony between various community activities, defending against the invasion of enemies and protecting the land they live in, etc. they have to form a government and leave the administration of society to individuals."
what do the people of the society need the government for?,"a) to set rules and regulations
b) to implement laws and regulations
c- resolve disputes and prevent encroachment on the rights of others
d- establishing order and security
e- defense of the country against internal and external enemies
and - creating coordination between different parts of the society and division of duties"
